Borough,Rank_with_rent,Rank_no_rent,Rank_high_rent_sensitive,Rank_flat,Rank_pairwise_matrix
Barking and Dagenham,12,19,5,5,30
Barnet,10,15,6,9,15
Bexley,27,30,26,23,33
Brent,9,10,9,8,12
Bromley,21,25,20,19,27
Camden,33,33,32,33,29
City of London,1,1,1,1,1
Croydon,19,22,16,15,26
Ealing,11,9,14,11,9
Enfield,25,24,23,21,32
Greenwich,26,31,24,25,28
Hackney,28,28,28,28,22
Hammersmith and Fulham,3,2,11,12,3
Haringey,22,23,25,26,21
Harrow,4,5,4,3,8
Havering,20,29,13,13,31
Hillingdon,7,14,3,4,19
Hounslow,8,8,8,6,10
Islington,29,32,30,30,25
Kensington and Chelsea,31,6,33,31,6
Kingston upon Thames,16,12,18,16,14
Lambeth,14,13,19,22,4
Lewisham,18,21,17,20,17
Merton,5,4,7,7,5
Newham,24,20,22,24,23
Redbridge,2,7,2,2,11
Richmond upon Thames,17,11,21,18,7
Southwark,23,17,27,27,13
Sutton,13,18,10,10,24
Tower Hamlets,30,27,29,29,20
Waltham Forest,15,16,15,14,16
Wandsworth,6,3,12,17,2
Westminster,32,26,31,32,18
