Borough,Area Code,Total: All usual residents,Aged 18 years,Aged 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Age 18 to 64 Total
Barking and Dagenham,E09000002,218863.0,2956.0,2472.0,13240.0,33271.0,50641.0,33747.0,136327.0
Barnet,E09000003,389340.0,4007.0,3233.0,22395.0,58216.0,88344.0,67656.0,243851.0
Bexley,E09000004,246473.0,2671.0,2401.0,13506.0,31988.0,50860.0,47448.0,148874.0
Brent,E09000005,339818.0,4125.0,4116.0,24589.0,59159.0,76164.0,59052.0,227205.0
Bromley,E09000006,329989.0,3230.0,2389.0,14676.0,40752.0,73535.0,64529.0,199111.0
Camden,E09000007,210134.0,3228.0,4299.0,20165.0,42543.0,44408.0,34157.0,148800.0
City of London,E09000001,8579.0,60.0,52.0,965.0,2213.0,1815.0,1617.0,6722.0
Croydon,E09000008,390718.0,4109.0,3583.0,21620.0,59140.0,85735.0,73218.0,247405.0
Ealing,E09000009,367122.0,4509.0,4242.0,22626.0,59678.0,86819.0,64326.0,242200.0
Enfield,E09000010,329986.0,4019.0,3278.0,19116.0,44300.0,71281.0,60819.0,202813.0
Greenwich,E09000011,289067.0,3067.0,3004.0,18363.0,52584.0,68305.0,47680.0,193003.0
Hackney,E09000012,259148.0,2685.0,2492.0,18592.0,63482.0,57714.0,38022.0,182987.0
Hammersmith and Fulham,E09000013,183161.0,1523.0,1747.0,16960.0,42789.0,39823.0,29493.0,132335.0
Haringey,E09000014,264234.0,2770.0,2624.0,16363.0,49903.0,63930.0,46516.0,182106.0
Harrow,E09000015,261203.0,2776.0,2212.0,15132.0,38925.0,58062.0,45549.0,162656.0
Havering,E09000016,262057.0,2753.0,2380.0,14106.0,36233.0,52844.0,49081.0,157397.0
Hillingdon,E09000017,305916.0,3607.0,3924.0,19812.0,44450.0,68671.0,52905.0,193369.0
Hounslow,E09000018,288181.0,3109.0,2721.0,16756.0,45717.0,70967.0,48633.0,187903.0
Islington,E09000019,216587.0,2409.0,2840.0,18476.0,56063.0,46411.0,33540.0,159739.0
Kensington and Chelsea,E09000020,143376.0,1320.0,1416.0,12202.0,25142.0,30356.0,29351.0,99787.0
Kingston upon Thames,E09000021,168064.0,1740.0,1848.0,11155.0,23271.0,39162.0,30045.0,107221.0
Lambeth,E09000022,317662.0,2978.0,2927.0,26755.0,81901.0,69292.0,51826.0,235679.0
Lewisham,E09000023,300554.0,3002.0,2807.0,18810.0,58434.0,72036.0,52079.0,207168.0
Merton,E09000024,215188.0,1953.0,1579.0,11167.0,36356.0,52598.0,37317.0,140970.0
Newham,E09000025,351039.0,4504.0,4391.0,28285.0,72735.0,82692.0,49531.0,242138.0
Redbridge,E09000026,310260.0,3675.0,3398.0,18967.0,46639.0,72127.0,50929.0,195735.0
Richmond upon Thames,E09000027,195278.0,1918.0,1379.0,8229.0,22049.0,46948.0,39309.0,119832.0
Southwark,E09000028,307641.0,3333.0,3778.0,25478.0,73224.0,68305.0,50273.0,224391.0
Sutton,E09000029,209640.0,2133.0,1566.0,9944.0,27200.0,49038.0,38959.0,128840.0
Tower Hamlets,E09000030,310303.0,3628.0,4689.0,31988.0,85181.0,69956.0,33199.0,228641.0
Waltham Forest,E09000031,278429.0,2868.0,2676.0,15573.0,51078.0,69532.0,45664.0,187391.0
Wandsworth,E09000032,327506.0,2515.0,2520.0,23844.0,86123.0,74694.0,47138.0,236834.0
Westminster,E09000033,204240.0,2381.0,2669.0,19329.0,44167.0,43908.0,36388.0,148842.0
