Borough,Area Code,Total population,Disabled People
Barking and Dagenham,E09000002,218868.0,28993.0
Barnet,E09000003,389344.0,49679.0
Bexley,E09000004,246472.0,36083.0
Brent,E09000005,339814.0,41163.0
Bromley,E09000006,329991.0,45894.0
Camden,E09000007,210136.0,31882.0
City of London,E09000001,8583.0,919.0
Croydon,E09000008,390719.0,54852.0
Ealing,E09000009,367115.0,44811.0
Enfield,E09000010,329984.0,44876.0
Greenwich,E09000011,289069.0,41576.0
Hackney,E09000012,259146.0,37020.0
Hammersmith and Fulham,E09000013,183158.0,22972.0
Haringey,E09000014,264238.0,36114.0
Harrow,E09000015,261203.0,31258.0
Havering,E09000016,262052.0,38449.0
Hillingdon,E09000017,305909.0,39466.0
Hounslow,E09000018,288181.0,35294.0
Islington,E09000019,216589.0,35063.0
Kensington and Chelsea,E09000020,143376.0,18311.0
Kingston upon Thames,E09000021,168063.0,21990.0
Lambeth,E09000022,317654.0,42017.0
Lewisham,E09000023,300553.0,43248.0
Merton,E09000024,215187.0,25902.0
Newham,E09000025,351036.0,42032.0
Redbridge,E09000026,310259.0,37022.0
Richmond upon Thames,E09000027,195278.0,23479.0
Southwark,E09000028,307637.0,42022.0
Sutton,E09000029,209639.0,29614.0
Tower Hamlets,E09000030,310306.0,40125.0
Waltham Forest,E09000031,278426.0,36762.0
Wandsworth,E09000032,327506.0,37444.0
Westminster,E09000033,204234.0,28122.0
