Borough,Area Code,Total: All usual residents aged 16 years and over,Economically active (excluding full-time students),Economically active and a full-time student,Total Economically Active Population
Barking and Dagenham,E09000002,161746.0,97834.0,5833.0,103667.0
Barnet,E09000003,309355.0,192234.0,7527.0,199761.0
Bexley,E09000004,195827.0,121176.0,4170.0,125346.0
Brent,E09000005,275142.0,167044.0,8938.0,175982.0
Bromley,E09000006,265088.0,167027.0,4063.0,171090.0
Camden,E09000007,177908.0,105519.0,6005.0,111524.0
City of London,E09000001,8004.0,5555.0,123.0,5678.0
Croydon,E09000008,310396.0,196811.0,7325.0,204136.0
Ealing,E09000009,295371.0,182589.0,7702.0,190291.0
Enfield,E09000010,257182.0,149864.0,6151.0,156015.0
Greenwich,E09000011,229749.0,148221.0,6981.0,155202.0
Hackney,E09000012,209466.0,140573.0,5194.0,145767.0
Hammersmith and Fulham,E09000013,154632.0,101615.0,4157.0,105772.0
Haringey,E09000014,216000.0,140381.0,5947.0,146328.0
Harrow,E09000015,209623.0,128235.0,5307.0,133542.0
Havering,E09000016,209730.0,128521.0,3911.0,132432.0
Hillingdon,E09000017,241879.0,147804.0,6634.0,154438.0
Hounslow,E09000018,228675.0,144652.0,5952.0,150604.0
Islington,E09000019,183627.0,119433.0,5481.0,124914.0
Kensington and Chelsea,E09000020,123089.0,72707.0,2365.0,75072.0
Kingston upon Thames,E09000021,135467.0,85425.0,3960.0,89385.0
Lambeth,E09000022,268942.0,190033.0,7108.0,197141.0
Lewisham,E09000023,242417.0,162414.0,7165.0,169579.0
Merton,E09000024,172772.0,115210.0,3690.0,118900.0
Newham,E09000025,276173.0,168499.0,12240.0,180739.0
Redbridge,E09000026,242020.0,145554.0,6912.0,152466.0
Richmond upon Thames,E09000027,155835.0,100356.0,2465.0,102821.0
Southwark,E09000028,256139.0,172319.0,8899.0,181218.0
Sutton,E09000029,165659.0,106863.0,2947.0,109810.0
Tower Hamlets,E09000030,252879.0,160439.0,10097.0,170536.0
Waltham Forest,E09000031,222184.0,145653.0,6182.0,151835.0
Wandsworth,E09000032,273559.0,195501.0,5927.0,201428.0
Westminster,E09000033,177470.0,105737.0,4551.0,110288.0
