Borough,Area Code,Gym_Count
City of London,E09000001,26
Barking and Dagenham,E09000002,7
Barnet,E09000003,21
Bexley,E09000004,12
Brent,E09000005,17
Bromley,E09000006,23
Camden,E09000007,50
Croydon,E09000008,16
Ealing,E09000009,15
Enfield,E09000010,13
Greenwich,E09000011,32
Hackney,E09000012,45
Hammersmith and Fulham,E09000013,24
Haringey,E09000014,38
Harrow,E09000015,12
Havering,E09000016,10
Hillingdon,E09000017,9
Hounslow,E09000018,12
Islington,E09000019,34
Kensington and Chelsea,E09000020,43
Kingston upon Thames,E09000021,15
Lambeth,E09000022,40
Lewisham,E09000023,26
Merton,E09000024,18
Newham,E09000025,47
Redbridge,E09000026,10
Richmond upon Thames,E09000027,36
Southwark,E09000028,43
Sutton,E09000029,7
Tower Hamlets,E09000030,65
Waltham Forest,E09000031,22
Wandsworth,E09000032,49
Westminster,E09000033,66
