Borough,Area Code,Total: All usual residents aged 16 years and over in employment,Works mainly from home
Barking and Dagenham,E09000002,94589.0,19572.0
Barnet,E09000003,186176.0,79628.0
Bexley,E09000004,117984.0,40692.0
Brent,E09000005,160994.0,48987.0
Bromley,E09000006,162122.0,75511.0
Camden,E09000007,102513.0,58110.0
City of London,E09000001,5348.0,3602.0
Croydon,E09000008,189407.0,70976.0
Ealing,E09000009,175023.0,63137.0
Enfield,E09000010,143864.0,44977.0
Greenwich,E09000011,142934.0,57959.0
Hackney,E09000012,134311.0,66844.0
Hammersmith and Fulham,E09000013,98093.0,51319.0
Haringey,E09000014,134381.0,55767.0
Harrow,E09000015,125037.0,45175.0
Havering,E09000016,124784.0,41654.0
Hillingdon,E09000017,142805.0,45193.0
Hounslow,E09000018,138800.0,45047.0
Islington,E09000019,114971.0,64530.0
Kensington and Chelsea,E09000020,69442.0,40010.0
Kingston upon Thames,E09000021,84148.0,39251.0
Lambeth,E09000022,182819.0,91770.0
Lewisham,E09000023,155712.0,69977.0
Merton,E09000024,112065.0,48419.0
Newham,E09000025,163447.0,47737.0
Redbridge,E09000026,141627.0,49406.0
Richmond upon Thames,E09000027,97565.0,57322.0
Southwark,E09000028,166948.0,80842.0
Sutton,E09000029,104224.0,38024.0
Tower Hamlets,E09000030,155394.0,78219.0
Waltham Forest,E09000031,140373.0,52765.0
Wandsworth,E09000032,190443.0,107639.0
Westminster,E09000033,101742.0,56766.0
